# Hetzner Cloud Pricing for OpenCost CSV Provider
# Generated: 2026-02-26T11:39:02.783509
# Source: Hetzner Cloud API (https://api.hetzner.cloud/v1/pricing)
# Prices in EUR per hour (net, excluding VAT)
#
EndTimestamp,InstanceID,Region,AssetClass,InstanceIDField,InstanceType,MarketPriceHourly,Version
,ccx43,hel1,node,metadata.labels.node.kubernetes.io/instance-type,ccx43,0.153800,2026.02
,ccx43,hil,node,metadata.labels.node.kubernetes.io/instance-type,ccx43,0.160300,2026.02
,ccx43,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,ccx43,0.153800,2026.02
,ccx43,sin,node,metadata.labels.node.kubernetes.io/instance-type,ccx43,0.219600,2026.02
,ccx53,ash,node,metadata.labels.node.kubernetes.io/instance-type,ccx53,0.320500,2026.02
,ccx53,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,ccx53,0.307700,2026.02
,ccx53,hel1,node,metadata.labels.node.kubernetes.io/instance-type,ccx53,0.307700,2026.02
,ccx53,hil,node,metadata.labels.node.kubernetes.io/instance-type,ccx53,0.320500,2026.02
,ccx53,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,ccx53,0.307700,2026.02
,ccx53,sin,node,metadata.labels.node.kubernetes.io/instance-type,ccx53,0.471200,2026.02
,ccx63,ash,node,metadata.labels.node.kubernetes.io/instance-type,ccx63,0.480800,2026.02
,ccx63,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,ccx63,0.461500,2026.02
,ccx63,hel1,node,metadata.labels.node.kubernetes.io/instance-type,ccx63,0.461500,2026.02
,ccx63,hil,node,metadata.labels.node.kubernetes.io/instance-type,ccx63,0.480800,2026.02
,ccx63,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,ccx63,0.461500,2026.02
,ccx63,sin,node,metadata.labels.node.kubernetes.io/instance-type,ccx63,0.772400,2026.02
,cpx12,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx12,0.009600,2026.02
,cpx22,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx22,0.009600,2026.02
,cpx22,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx22,0.009600,2026.02
,cpx22,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx22,0.009600,2026.02
